pojazd_id,nazwa_pojazdu,segment,pojemnosc_baterii_kwh,czas_ac_0_100_h,czas_dc_10_80_min,moc_stacji_referencyjnej_dc_kw,oficjalna_moc_ac_kw,oficjalna_moc_dc_kw,uwagi,zrodlo_nazwa,zrodlo_url,status_danych
BMW_i4_eDrive40,BMW i4 eDrive40,sedan,81.1,8.5,30,205,11,205,Parametry ładowania i pojemność baterii pochodzą z oficjalnej tabeli technicznej BMW,BMW Technical Data,https://www.bmwhk.com/en/all-models/i-series/i4/bmw-i4-gran-coupe-technical-data.html,surowe
Nissan_LEAF_40,Nissan LEAF 40 kWh,hatchback,40.0,6.1,40,50,6.6,50,Nissan podaje 6.6 kW onboard charger i 50 kW Quick Charge port,Nissan USA Features,https://www.nissanusa.com/vehicles/electric-cars/2025-leaf/features.html,surowe
Hyundai_IONIQ_5_77,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,7.3,18,350,,,"Pojemność i czas AC z Hyundai Europe, czas 10-80% z 350 kW DC z Hyundai global; moc DC pojazdu zostanie oszacowana w processed",Hyundai Europe / Hyundai Global,https://www.hyundai.com/eu/en/electrification/owning-an-electric-vehicle/reasons-why/charging/charging-at-home.html,surowe
Volvo_EX30_69,Volvo EX30 69 kWh,crossover,69.0,8.0,28,175,11,,"Volvo podaje 11 kW AC i 10-80% DC 175 kW w 28 min; moc DC pojazdu zostanie oszacowana w processed",Volvo Support,https://www.volvocars.com/uk/support/car/ex30/article/0ed816eed33d98cac0a8cc377bc12bc7-83c0c849d91ad5fac0a8cc3751bbe62b-8664b2fa77a7e089c0a8296870d1a409/,surowe
