scenariusz,liczba_sesji_wygenerowanych,sesje_zakonczone,sesje_rezygnacja,sesje_niedokonczone,sesje_niedokonczone_w_kolejce,moc_szczytowa_kw,prad_szczytowy_a,srednia_moc_kw,max_kolejka,sredni_czas_oczekiwania_min,sredni_czas_ladowania_min,srednia_energia_na_sesje_kwh,energia_calkowita_kwh,wykorzystanie_ladowarek_proc,typ_ladowarki,limit_mocy_stacji_kw,liczba_ladowarek,liczba_sesji_bazowa
Lato - dzień roboczy,39,39,0,0,0,600.0,1500.0,59.872,0,0.0,22.692,34.634,1350.707,2.083,DC,600.0,10,36
Lato - weekend,42,42,0,0,0,387.951,969.878,62.71,0,0.0,21.429,33.684,1414.735,1.875,DC,600.0,10,36
Zima - dzień roboczy,34,34,0,0,0,334.575,836.437,56.129,0,0.0,25.588,37.243,1266.265,2.5,DC,600.0,10,36
Zima - weekend,32,32,0,0,0,345.316,863.29,52.582,0,0.0,26.25,37.07,1186.248,2.5,DC,600.0,10,36
