pojazd_id,nazwa_pojazdu,segment,pojemnosc_baterii_kwh,ac_max_kw,dc_max_kw,udzial_w_miksie,zrodlo_nazwa,zrodlo_url,status_danych,uwaga_przetworzenie
BMW_i4_eDrive40,BMW i4 eDrive40,sedan,81.1,11.0,205.0,0.24,BMW Technical Data,https://www.bmwhk.com/en/all-models/i-series/i4/bmw-i4-gran-coupe-technical-data.html,przetworzone,dc_max_kw pochodzi bezpośrednio ze źródła oficjalnego
Nissan_LEAF_40,Nissan LEAF 40 kWh,hatchback,40.0,6.6,50.0,0.2,Nissan USA Features,https://www.nissanusa.com/vehicles/electric-cars/2025-leaf/features.html,przetworzone,dc_max_kw pochodzi bezpośrednio ze źródła oficjalnego
Hyundai_IONIQ_5_77,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,10.6,252.8,0.28,Hyundai Europe / Hyundai Global,https://www.hyundai.com/eu/en/electrification/owning-an-electric-vehicle/reasons-why/charging/charging-at-home.html,przetworzone,dc_max_kw oszacowano z czasu 10-80% oraz mocy stacji referencyjnej
Volvo_EX30_69,Volvo EX30 69 kWh,crossover,69.0,11.0,144.9,0.28,Volvo Support,https://www.volvocars.com/uk/support/car/ex30/article/0ed816eed33d98cac0a8cc377bc12bc7-83c0c849d91ad5fac0a8cc3751bbe62b-8664b2fa77a7e089c0a8296870d1a409/,przetworzone,dc_max_kw oszacowano z czasu 10-80% oraz mocy stacji referencyjnej
